CourseTitle ,Term ,Faculty ,CourseSection ,Phase ,Area ,Campus ,Meeting Pattern ,Bids ,Closing Cost ,Seats Available ,Total seats ,Enrolled ,Program ,WaitList ,OpenSeats
Leading the Strategic Change Process ,Summer 2019 ,"Hirsch, Paul" ,MORS-452-0 (81) ,Summer 2019 Bidding Phase I ,MORS ,Chicago ,Thu 6:00PM - 9:00PM ,18 ,0 ,35 ,35 ,18 ,Evening ,0 ,17
Leading the Strategic Change Process ,Summer 2019 ,"Hirsch, Paul" ,MORS-452-0 (81) ,Summer 2019 Bidding Phase II ,MORS ,Chicago ,Thu 6:00PM - 9:00PM ,8 ,0 ,20 ,35 ,8 ,Evening ,0 ,12
Competitive Strategy and Industrial Structure ,Summer 2019 ,"Saraniti, Brett" ,MECN-441-0 (81) ,Summer 2019 Bidding Phase I ,MECN ,Chicago ,Thu 6:00PM - 9:00PM ,54 ,0 ,55 ,55 ,54 ,Evening ,0 ,1
Competitive Strategy and Industrial Structure ,Summer 2019 ,"Saraniti, Brett" ,MECN-441-0 (81) ,Summer 2019 Bidding Phase II ,MECN ,Chicago ,Thu 6:00PM - 9:00PM ,0 ,0 ,0 ,10 ,0 ,Weekend ,0 ,0
Accounting For Decision Making ,Summer 2019 ,"Yoon, Aaron" ,ACCT-430-0 (61) ,Summer 2019 Bidding Phase I ,ACCT ,Chicago ,Thu 6:00PM - 9:00PM ,4 ,0 ,64 ,65 ,4 ,Evening ,0 ,60
Accounting For Decision Making ,Summer 2019 ,"Yoon, Aaron" ,ACCT-430-0 (61) ,Summer 2019 Bidding Phase II ,ACCT ,Chicago ,Thu 6:00PM - 9:00PM ,2 ,0 ,60 ,65 ,2 ,Evening ,0 ,58
Business Analytics I ,Summer 2019 ,"Gradwohl, Ronen" ,DECS-430-5 (61) ,Summer 2019 Bidding Phase I ,DECS ,Chicago ,Thu 6:00PM - 9:00PM ,21 ,0 ,65 ,65 ,21 ,Evening ,0 ,44
Business Analytics I ,Summer 2019 ,"Gradwohl, Ronen" ,DECS-430-5 (61) ,Summer 2019 Bidding Phase II ,DECS ,Chicago ,Thu 6:00PM - 9:00PM ,1 ,0 ,44 ,65 ,1 ,Evening ,0 ,43
Financial Decisions ,Summer 2019 ,"Benmelech, Efraim" ,FINC-442-0 (81) ,Summer 2019 Bidding Phase I ,FINC ,Chicago ,Thu 6:00PM - 9:00PM ,29 ,0 ,43 ,43 ,29 ,Evening ,0 ,14
Financial Decisions ,Summer 2019 ,"Benmelech, Efraim" ,FINC-442-0 (81) ,Summer 2019 Bidding Phase II ,FINC ,Chicago ,Thu 6:00PM - 9:00PM ,1 ,0 ,14 ,43 ,1 ,Evening ,0 ,13
